datum,cantus,vereniging,plaats
20/10/16,Dopecantus,Wina,Pavo
15/11/16,Americantus,Wina,Pavo
29/11/16,Scienticantus,Scientica,Waaiberg
06/12/16,Wittebaardencantus,Wina,Pavo
08/12/16,Tweedejaarscantus: Sea Shanties,Wina,'t RC
22/02/17,Game Of Thrones-cantus,Wina,Pavo
13/03/17,Spamtus,Wina,Pavo
28/03/17,Duocantus Eoos,Eoos en Wina,Zamo
29/03/17,Beiaardcantus,LOKO,Ladeuzeplein
18/04/17,Levenswegcantus,Wina,Pavo
24/04/17,Spartacantus,Sparticle,Pavo
13/05/17,Bejaardcantus,Wina,Pavo
02/10/17,Cluedocantus,Wina,Pavo
09/11/17,Lettertjes- en cijfertjescantus,Eoos en Wina,Recup
16/11/17,Kom-eens-langs-cantus,Plutonica,'t Vervolg
21/11/17,Zilveren jubileumcantus,Groenveld,Waaiberg
07/12/17,Doopcantus,Plutonica,'t Vervolg
